BBBBBBBBB:4,70,1030;11436,99608,715748;4403900,23830460,115674114
BXBBBBOBB:4,-12,14;-8,2,0;0,0,0
XXBBBOOBB:2,-4,2;0,0,0;0,0,2
XXBOBOOBX:2,-4,4;-12,30,-40;30,-12,2
OBBBBBBBX:2,0,0;2,-4,2;0,0,0
OBOXBBBBX:2,2,-6;6,-2,0;0,0,0
OXOXOBBBX:2,0,0;0,0,0;0,2,-8
OXOXOOBXX:2,0,0;0,0,0;2,-10,20
BBXBOBBBB:2,0,0;0,0,-2;4,-2,0
BBXBOXOBB:2,0,0;0,0,0;0,-2,6
BBXBOXOXO:2,-2,8;-12,8,-2;0,0,0
BXBBOBBBB:2,2,2;2,2,2;2,0,4
OXBBOBBXB:2,2,2;2,2,2;0,6,0
OXBBOOXXB:2,2,2;0,8,-4;4,2,2
BBBOBBBBX:2,4,6;8,8,12;14,16,18
BBOOXBBBX:2,4,6;8,10,12;12,18,18
BOOOXBXBX:2,4,6;8,10,10;18,14,18
BOBBBBXBB:2,8,22;44,76,120;178,252,344
BOXBBOXBB:2,8,20;42,72,114;170,242,332
OOXXBOXBB:2,8,20;40,70,112;168,242,330
OOXXBOXXO:2,8,20;40,72,110;168,240,330
BBBBBBXOB:2,8,22;44,76,120;178,252,344
BBXBBOXOB:2,8,20;42,72,114;170,242,332
OBXXBOXOB:2,8,20;40,72,112;168,240,330
BBBXOBBBB:2,12,36;82,160,282;462,716,1062
BXBXOBOBB:4,14,36;78,150,264;434,676,1008
XXBXOBOBO:2,10,32;72,142,254;422,662,992
XBBBBOBBB:2,12,44;118,264,524;954,1626,2630
XBXBBOBBO:2,12,42;112,252,504;926,1588,2580
XOXBBOXBO:2,12,42;112,254,506;926,1586,2576
